date,Portfolio
2020-02-12,
2020-02-19,
2020-02-26,
2020-03-04,
2020-03-11,
2020-03-18,
2020-03-25,
2020-04-01,
2020-04-08,
2020-04-15,
2020-04-22,
2020-04-29,
2020-05-06,
2020-05-13,
2020-05-20,
2020-05-27,
2020-06-03,
2020-06-10,
2020-06-17,
2020-06-24,
2020-07-01,
2020-07-08,
2020-07-15,
2020-07-22,
2020-07-29,
2020-08-05,
2020-08-12,
2020-08-19,
2020-08-26,
2020-09-02,
2020-09-09,
2020-09-16,
2020-09-23,
2020-09-30,0.09889157412489398
2020-10-07,-0.07487955040565779
2020-10-14,0.06387137503432953
2020-10-21,-0.025102094490555633
2020-10-28,-0.04217576229714994
2020-11-04,-0.037428092876717396
2020-11-11,0.17170829441725902
2020-11-18,0.05942335334677843
2020-11-25,0.18386842691421068
2020-12-02,-0.017834385510805274
2020-12-09,-0.09461925125276653
2020-12-16,0.09646016170245043
2020-12-23,-0.1372276419567651
2020-12-30,0.21734227094376043
2021-01-06,0.3544143306812464
2021-01-13,0.1932415553973138
2021-01-20,0.062055876013476785
2021-01-27,-0.07833497777620337
2021-02-03,0.5060855016547805
2021-02-10,0.4924013153638857
2021-02-17,0.05872148131007759
2021-02-24,0.28535965737395047
2021-03-03,-0.05361454998164045
2021-03-10,0.07950570971447526
2021-03-17,0.027648778074818078
2021-03-24,-0.07267352577534517
2021-03-31,0.32308979401204124
2021-04-07,0.17053451029237623
2021-04-14,0.2553879255324676
2021-04-21,0.05341919640363082
2021-04-28,0.1413621263789291
2021-05-05,0.1752205669772604
2021-05-12,-0.07666225702332413
2021-05-19,-0.28470564122857756
2021-05-26,0.08716255495458745
2021-06-02,-0.02695214367409823
2021-06-09,0.020456419512862686
2021-06-16,-0.06589407476901071
2021-06-23,-0.175490101286655
2021-06-30,0.1222979891763564
2021-07-07,0.0005622863117547543
2021-07-14,-0.09937464392411052
2021-07-21,-0.06917785363516603
2021-07-28,0.1253333389055254
2021-08-04,0.13726159795014614
2021-08-11,0.19247982914010459
2021-08-18,0.18413028375369686
2021-08-25,0.07343512867212244
2021-09-01,0.18590253399453568
2021-09-08,0.10946105422135961
2021-09-15,0.031548592462365445
2021-09-22,-0.11919815563323884
2021-09-29,-0.08037239202976845
2021-10-06,0.19537860041558686
2021-10-13,0.009557614931307823
2021-10-20,0.12299883559408051
2021-10-27,-0.06293381844328554
2021-11-03,0.2016356574929948
2021-11-10,0.005505528610756588
2021-11-17,-0.04924598042303912
2021-11-24,-0.05004362889226208
2021-12-01,0.045535280798895
2021-12-08,-0.08431457101058201
2021-12-15,-0.07080552855290222
2021-12-22,-0.018693834601029503
2021-12-29,-0.052270013874556334
2022-01-05,-0.06539667420629405
2022-01-12,-0.013344991768691925
2022-01-19,-0.057219584902793025
2022-01-26,-0.2090725883403768
2022-02-02,0.04644398770283583
2022-02-09,0.18230117473710342
2022-02-16,-0.05005830487158973
2022-02-23,-0.14991244604279477
2022-03-02,0.12569129676343557
2022-03-09,-0.06606347626888989
2022-03-16,-0.001963780509296902
2022-03-23,0.07931815618758431
2022-03-30,0.1455625196295323
2022-04-06,-0.07868191255662538
2022-04-13,-0.0351535590852756
2022-04-20,0.0012221950251170893
2022-04-27,-0.050752126321183776
2022-05-04,0.06150610453801376
2022-05-11,-0.31304289463164836
2022-05-18,-0.028421118165651568
2022-05-25,0.04904355886279602
2022-06-01,-0.06313542200863706
2022-06-08,-0.015585208423316042
2022-06-15,-0.20905136986266057
2022-06-22,-0.0714373311346708
2022-06-29,0.02559124966473752
2022-07-06,0.05940075728972596
2022-07-13,-0.04270384998445052
2022-07-20,0.1823856921743691
2022-07-27,0.014299650241347245
2022-08-03,-0.004277106717406641
2022-08-10,0.08931966399948837
2022-08-17,-0.025081696012803748
2022-08-24,-0.09341909026506948
2022-08-31,-0.06251081807293578
2022-09-07,0.013753699714109132
2022-09-14,0.01849016478581702
2022-09-21,-0.10483758150793412
2022-09-28,0.05890720135268028
2022-10-05,0.03290039668685879
2022-10-12,-0.05490959856523175
2022-10-19,-0.02477684970229548
2022-10-26,0.1105402748974079
2022-11-02,0.019955034253319175
2022-11-09,-0.2640269304523792
2022-11-16,0.009076304272864339
2022-11-23,0.009841293654120044
2022-11-30,0.04789228682723919
2022-12-07,-0.042868450322966496
2022-12-14,0.030820161972601953
2022-12-21,-0.08447094576094953
2022-12-28,-0.05848585018593681
2023-01-04,0.11781786443745829
2023-01-11,0.11360034161574101
2023-01-18,0.11529121151769545
2023-01-25,0.10038360324007858
2023-02-01,0.026206222733547963
2023-02-08,-0.008044404054080818
2023-02-15,0.02645071892248122
2023-02-22,-0.012214806611008076
2023-03-01,-0.023532220083856515
2023-03-08,-0.09888439416058335
2023-03-15,0.05196740889297977
2023-03-22,0.056085799084623134
2023-03-29,0.030516916636176377
2023-04-05,0.023099839138571634
2023-04-12,0.03989459765848402
2023-04-19,-0.008703178510237938
2023-04-26,-0.030959968374991275
2023-05-03,0.028164638930816107
2023-05-10,-0.039195475495945445
2023-05-17,0.004727125359898089
2023-05-24,-0.020418977102354064
2023-05-31,0.03624624070407113
2023-06-07,-0.05605322187290259
2023-06-14,-0.11745489551492148
2023-06-21,0.12071422859464101
2023-06-28,-0.03615185658700563
2023-07-05,0.0752361827852604
2023-07-12,0.03480162835180947
2023-07-19,0.08155034381993792
2023-07-26,-0.011845744019158909
2023-08-02,-0.040316476646933705
2023-08-09,0.017443404741197738
2023-08-16,-0.0457929312640527
2023-08-23,-0.04420372685470878
2023-08-30,-0.0017307345670578846
2023-09-06,-0.031409812654806496
2023-09-13,-0.01618696474043342
2023-09-20,0.04324731912651676
2023-09-27,-0.023753274583066676
2023-10-04,0.07674793259782393
2023-10-11,-0.042659874276392215
2023-10-18,0.03011751801171984
2023-10-25,0.18440119359684906
2023-11-01,0.09753975225219833
2023-11-08,0.0368213029684332
2023-11-15,0.1668923099246975
2023-11-22,-0.04528238643524193
2023-11-29,0.006834437426545417
2023-12-06,0.07118712903753983
2023-12-13,0.061011117170304906
2023-12-20,0.030376915611847393
2023-12-27,0.12756718690735905
2024-01-03,-0.04888517885433715
2024-01-10,0.054338338778998733
2024-01-17,-0.014706503007755603
2024-01-24,-0.07786837835111567
2024-01-31,0.04390595854632391
2024-02-07,0.05269332796872279
2024-02-14,0.12143101676522194
2024-02-21,0.022799973554409686
2024-02-28,0.12336611381533365
2024-03-06,0.08119153093554703
2024-03-13,0.14162476413901426
2024-03-20,-0.03891084374263657
2024-03-27,0.007087451631413937
2024-04-03,-0.034818364434810546
2024-04-10,0.03211763908215344
2024-04-17,-0.16384618583728952
2024-04-24,0.07430297288324965
2024-05-01,-0.0519135536429115
2024-05-08,0.03403539175192647
2024-05-15,0.0503800793376005
2024-05-22,0.08949675201421463
2024-05-29,-0.031891764230412525
2024-06-05,0.04676195162478864
2024-06-12,-0.06735638175549011
2024-06-19,-0.05150891071710766
2024-06-26,-0.014939904356591701
2024-07-03,0.005873358964991432
2024-07-10,-0.02612207059721496
2024-07-17,0.09381381377485137
2024-07-24,0.03514254034463801
2024-07-31,-0.027371870111387846
2024-08-07,-0.1614627732476191
2024-08-14,0.061155691012581254
2024-08-21,0.050298005049770785
2024-08-28,-0.019171934182413745
2024-09-04,-0.04602898269429357
2024-09-11,-0.0013915386208949007
2024-09-18,0.02219876873724082
2024-09-25,0.0584278836363385
2024-10-02,-0.047797424304619855
2024-10-09,0.011926891859639983
2024-10-16,0.07944119507982889
2024-10-23,0.015817997131925585
2024-10-30,0.05022445926368208
2024-11-06,0.02907457843063796
2024-11-13,0.19226880196992757
2024-11-20,0.0633395713527001
2024-11-27,0.08707997585630994
2024-12-04,0.16343124846486407
2024-12-11,-0.03416738503682436
2024-12-18,-0.065431481233347
2024-12-25,-0.021643893154241207
2025-01-01,-0.02154375142538518
2025-01-08,0.0017583059308236499
2025-01-15,0.04032021921524698
2025-01-22,0.05330904590532039
2025-01-29,-0.056713477768860474
2025-02-05,-0.11948185807263245
2025-02-12,0.0471634503263641
2025-02-19,-0.04448926374838282
2025-02-26,-0.13542296862350353
2025-03-05,0.0521506284641515
2025-03-12,-0.11443789182072234
2025-03-19,0.062011702360925215
2025-03-26,-0.0007649447681482551
2025-04-02,-0.08379584733376015
2025-04-09,-0.011524835362440583
2025-04-16,0.01919430482343645
2025-04-23,0.09947465398801449
2025-04-30,-0.008905220912834542
2025-05-07,0.006644887837877995
2025-05-14,0.21209266436456695
2025-05-21,-0.004630491269422216
2025-05-28,0.008965244689924236
2025-06-04,-0.05041327923687875
2025-06-11,0.038932104567141156
2025-06-18,-0.06498535580559477
2025-06-25,-0.013683738046774963
2025-07-02,0.04302685064410251
2025-07-09,0.040301786078859925
2025-07-16,0.12573050595427693
2025-07-23,0.059501011735343876
2025-07-30,0.0016431526966200908
