date,symbol,avg_sentiment,news_count
2025-06-23,ADA,0.7327666666666667,15
2025-06-30,ADA,0.825291304347826,23
2025-07-07,ADA,0.7749720000000001,25
2025-07-14,ADA,0.850821875,32
2025-07-21,ADA,0.9992833333333334,6
2022-12-26,AVAX,0.0,1
2023-01-02,AVAX,0.27806000000000003,10
2023-01-09,AVAX,0.35952857142857136,14
2023-01-16,AVAX,0.09842857142857145,7
2023-01-23,AVAX,0.3436533333333333,15
2023-01-30,AVAX,0.3000846153846154,13
2023-02-06,AVAX,0.6026666666666667,3
2023-02-13,AVAX,0.311075,4
2023-02-20,AVAX,0.3530777777777778,9
2023-02-27,AVAX,0.45612,5
2023-03-06,AVAX,0.18285,8
2023-03-13,AVAX,0.3227,9
2023-03-20,AVAX,0.01062857142857144,7
2023-03-27,AVAX,0.2682,4
2023-04-03,AVAX,0.6962875,8
2023-04-10,AVAX,0.3261,3
2023-04-17,AVAX,0.37051,10
2023-04-24,AVAX,0.3351272727272727,11
2023-05-01,AVAX,0.36755,8
2023-05-08,AVAX,0.5660333333333333,6
2023-05-15,AVAX,0.43134285714285714,7
2023-05-22,AVAX,0.7578125,8
2023-05-29,AVAX,0.7940333333333333,6
2023-06-05,AVAX,0.16498,5
2023-06-12,AVAX,0.9596333333333332,3
2023-06-19,AVAX,0.4918,8
2023-06-26,AVAX,0.9826333333333334,3
2023-07-03,AVAX,0.41646,5
2023-07-10,AVAX,0.8395666666666667,6
2023-07-17,AVAX,0.5132,3
2023-07-24,AVAX,0.893575,4
2023-07-31,AVAX,0.8668750000000001,4
2023-08-07,AVAX,0.0,2
2023-08-14,AVAX,0.6363,4
2023-08-21,AVAX,0.3215818181818182,11
2023-08-28,AVAX,0.3987,3
2023-09-04,AVAX,0.64845,4
2023-09-11,AVAX,0.0,2
2023-09-18,AVAX,0.22096,5
2023-09-25,AVAX,0.4027,4
2023-10-02,AVAX,0.36110000000000003,15
2023-10-09,AVAX,0.31723,10
