date,symbol,sentiment_index,sentiment_ema_7d,sentiment_change,news_count
2022-12-26,ADA,0.0,0.0,0.0,2
2023-01-02,ADA,0.0859158333333333,0.0859158333333333,0.0859158333333333,24
2023-01-09,ADA,0.17817384313725487,0.17817384313725487,0.09225800980392157,17
2023-01-16,ADA,0.21765032450980387,0.21765032450980387,0.039476481372549,16
2023-01-23,ADA,0.2308722596078431,0.2308722596078431,0.013221935098039234,15
2023-01-30,ADA,0.2991073729036658,0.2991073729036658,0.06823511329582269,23
2023-02-06,ADA,0.32409771650475083,0.32409771650475083,0.02499034360108504,22
2023-02-13,ADA,0.3189739626774849,0.3189739626774849,-0.005123753827265931,19
2023-02-20,ADA,0.3292709348478703,0.3292709348478703,0.010296972170385388,17
2023-02-27,ADA,0.2695594145449629,0.2695594145449629,-0.059711520302907384,15
2023-03-06,ADA,0.2766729861814249,0.2766729861814249,0.007113571636461979,11
2023-03-13,ADA,0.30457293439968536,0.30457293439968536,0.027899948218260473,11
2023-03-20,ADA,0.3503294586308594,0.3503294586308594,0.045756524231174045,9
2023-03-27,ADA,0.38490070976183033,0.38490070976183033,0.034571251130970926,14
2023-04-03,ADA,0.41655945669835315,0.41655945669835315,0.03165874693652282,18
2023-04-10,ADA,0.45442574717686435,0.45442574717686435,0.0378662904785112,11
2023-04-17,ADA,0.4968135977414915,0.4968135977414915,0.04238785056462713,20
2023-04-24,ADA,0.4886720546637814,0.4886720546637814,-0.00814154307771009,17
2023-05-01,ADA,0.40830431039769177,0.40830431039769177,-0.08036774426608961,15
2023-05-08,ADA,0.37698044831815347,0.37698044831815347,-0.0313238620795383,20
2023-05-15,ADA,0.38390435865452277,0.38390435865452277,0.006923910336369299,14
2023-05-22,ADA,0.39509894146907276,0.39509894146907276,0.011194582814549991,22
2023-05-29,ADA,0.3795447087308138,0.3795447087308138,-0.015554232738258955,18
2023-06-05,ADA,0.339332266984651,0.339332266984651,-0.040212441746162786,40
2023-06-12,ADA,0.37587988766179486,0.37587988766179486,0.036547620677143844,27
2023-06-19,ADA,0.35276516012943593,0.35276516012943593,-0.023114727532358936,16
2023-06-26,ADA,0.3540464138178344,0.3540464138178344,0.001281253688398487,21
2023-07-03,ADA,0.3937104643876009,0.3937104643876009,0.03966405056976646,21
2023-07-10,ADA,0.48034291696462617,0.48034291696462617,0.08663245257702529,11
2023-07-17,ADA,0.5274583335717009,0.5274583335717009,0.047115416607074745,10
2023-07-24,ADA,0.5781497437804376,0.5781497437804376,0.05069141020873669,13
2023-07-31,ADA,0.5154809714949383,0.5154809714949383,-0.06266877228549927,17
2023-08-07,ADA,0.5069076343388078,0.5069076343388078,-0.008573337156130512,21
2023-08-14,ADA,0.44037883474377354,0.44037883474377354,-0.06652879959503427,11
2023-08-21,ADA,0.3814468177950189,0.3814468177950189,-0.05893201694875466,16
2023-08-28,ADA,0.3929685653471262,0.3929685653471262,0.011521747552107331,9
2023-09-04,ADA,0.40949177535462405,0.40949177535462405,0.016523210007497846,13
2023-09-11,ADA,0.42781342028369923,0.42781342028369923,0.018321644929075176,16
2023-09-18,ADA,0.4038078790841022,0.4038078790841022,-0.024005541199597025,14
2023-09-25,ADA,0.48973880326728175,0.48973880326728175,0.08593092418317955,8
2023-10-02,ADA,0.5059356579984408,0.5059356579984408,0.016196854731159005,13
2023-10-09,ADA,0.39596125367147994,0.39596125367147994,-0.10997440432696082,11
2023-10-16,ADA,0.38325669524487627,0.38325669524487627,-0.012704558426603674,13
2023-10-23,ADA,0.35762074081128564,0.35762074081128564,-0.025635954433590624,13
2023-10-30,ADA,0.3866788148712507,0.3866788148712507,0.029058074059965078,9
2023-11-06,ADA,0.4285663852303339,0.4285663852303339,0.04188757035908319,24
2023-11-13,ADA,0.4541975526287116,0.4541975526287116,0.025631167398377674,18
2023-11-20,ADA,0.46059270876963593,0.46059270876963593,0.006395156140924341,15
2023-11-27,ADA,0.4547078512262351,0.4547078512262351,-0.0058848575434008454,19
2023-12-04,ADA,0.4643548524095595,0.4643548524095595,0.0096470011833244,21
2023-12-11,ADA,0.46833926654303215,0.46833926654303215,0.003984414133472669,26
2023-12-18,ADA,0.46288266323442573,0.46288266323442573,-0.0054566033086064225,16
2023-12-25,ADA,0.48532184487325486,0.48532184487325486,0.02243918163882913,14
2024-01-01,ADA,0.5141411122622402,0.5141411122622402,0.02881926738898538,11
2024-01-08,ADA,0.5163540662803804,0.5163540662803804,0.0022129540181401453,17
2024-01-15,ADA,0.5683932530243043,0.5683932530243043,0.05203918674392394,10
2024-01-22,ADA,0.6026279357527768,0.6026279357527768,0.03423468272847252,15
2024-01-29,ADA,0.5600886643916951,0.5600886643916951,-0.04253927136108171,19
2024-02-05,ADA,0.5461989315133561,0.5461989315133561,-0.013889732878339056,25
2024-02-12,ADA,0.5491764425079821,0.5491764425079821,0.0029775109946260647,37
2024-02-19,ADA,0.5174103206730524,0.5174103206730524,-0.03176612183492977,24
2024-02-26,ADA,0.5261032565384419,0.5261032565384419,0.00869293586538955,16
2024-03-04,ADA,0.5780439385640869,0.5780439385640869,0.051940682025644946,15
2024-03-11,ADA,0.5348739008512695,0.5348739008512695,-0.043170037712817355,16
2024-03-18,ADA,0.5438198899117849,0.5438198899117849,0.008945989060515358,26
2024-03-25,ADA,0.5368229707529574,0.5368229707529574,-0.006996919158827497,17
2024-04-01,ADA,0.5625896266023659,0.5625896266023659,0.025766655849408515,16
2024-04-08,ADA,0.5398773012818927,0.5398773012818927,-0.02271232532047318,25
