,Mean,Vol,Sharpe,MaxDrawdown,CAGR
MVO,0.021271229763799766,0.10405775614760937,1.4740757910782183,-0.7760169986633427,1.2984308341706923
MVP,0.017914926514806615,0.09906549263050679,1.304050167826318,-0.7972532604478964,0.97936289225824
Risk Parity,0.014056307799535702,0.07908357360886584,1.2817007679897938,-0.6873416682238989,0.7646607637710461
