date,baseline_cum,sentiment_cum
2020-02-05,1.0,1.0
2020-02-12,1.1332612182429833,1.1332612182429833
2020-02-19,1.042015196945774,1.042015196945774
2020-02-26,0.9414743903888729,0.9414743903888729
2020-03-04,0.9635852148408905,0.9635852148408905
2020-03-11,0.870784654688464,0.870784654688464
2020-03-18,0.6757163394559959,0.6757163394559959
2020-03-25,0.7435423070596355,0.7435423070596355
2020-04-01,0.7542543314033708,0.7542543314033708
2020-04-08,0.8399225319988903,0.8399225319988903
2020-04-15,0.7879279677574693,0.7879279677574693
2020-04-22,0.8452215007373491,0.8452215007373491
2020-04-29,0.9837381423152775,0.9837381423152775
2020-05-06,0.9459012345430573,0.9459012345430573
2020-05-13,0.9344622120048366,0.9344622120048366
2020-05-20,0.959380680966882,0.959380680966882
2020-05-27,0.9476059429188282,0.9476059429188282
2020-06-03,1.045921064565823,1.045921064565823
2020-06-10,1.0597682147635723,1.0597682147635723
2020-06-17,1.015918214922415,1.015918214922415
2020-06-24,1.0282356940291624,1.0282356940291624
2020-07-01,1.0566808980201372,1.0566808980201372
2020-07-08,1.2378399653620584,1.2378399653620584
2020-07-15,1.2581809774844062,1.2581809774844062
2020-07-22,1.2663440697015405,1.2663440697015405
2020-07-29,1.4458478102516301,1.4458478102516301
2020-08-05,1.5838373137947992,1.5838373137947992
2020-08-12,1.7221280729434354,1.7221280729434354
2020-08-19,1.748726590669233,1.748726590669233
2020-08-26,1.7186868397961748,1.7186868397961748
2020-09-02,1.8630229837246797,1.8630229837246801
2020-09-09,1.6526028387373892,1.6526028387373897
2020-09-16,1.6248403402341423,1.6248403402341427
2020-09-23,1.4812965956711868,1.4812965956711872
2020-09-30,1.6738927655979472,1.6738927655979476
2020-10-07,1.5559433393479478,1.5559433393479483
2020-10-14,1.679565785301705,1.6795657853017054
2020-10-21,1.6571781965169983,1.6571781965169987
2020-10-28,1.6329872053709382,1.6329872053709387
2020-11-04,1.5388428871311626,1.538842887131163
2020-11-11,1.72767926567899,1.7276792656789906
2020-11-18,1.8357652499092667,1.8357652499092671
2020-11-25,2.342875514181942,2.342875514181943
2020-12-02,2.295172684049778,2.295172684049779
2020-12-09,2.092533429442655,2.092533429442656
2020-12-16,2.2687071110578096,2.2687071110578105
2020-12-23,1.9574052834846136,1.9574052834846145
2020-12-30,2.3511419591024767,2.351141959102478
2021-01-06,3.431760620089581,3.431760620089583
2021-01-13,4.024842387907922,4.024842387907925
2021-01-20,4.653753218191152,4.653753218191155
2021-01-27,4.146240463935329,4.146240463935332
2021-02-03,7.1743274438754625,7.174327443875467
2021-02-10,12.76184038356702,12.76184038356703
2021-02-17,13.098704718243566,13.098704718243578
2021-02-24,15.00777988924325,15.007779889243265
2021-03-03,14.668595398377745,14.668595398377757
2021-03-10,15.601634416687855,15.601634416687867
2021-03-17,16.2831446779187,16.283144677918713
2021-03-24,14.60206161858287,14.602061618582882
2021-03-31,18.00162683829567,18.001626838295685
2021-04-07,20.790234611060114,20.79023461106013
2021-04-14,28.631705764328725,28.631705764328746
2021-04-21,29.926621027196987,29.92662102719701
2021-04-28,32.68215603644053,32.68215603644056
2021-05-05,40.65005047083953,40.65005047083957
2021-05-12,35.882802104553846,35.88280210455388
2021-05-19,26.900771262868947,26.90077126286897
2021-05-26,28.437257898438677,28.437257898438702
2021-06-02,28.3701336870747,28.370133687074723
2021-06-09,26.816337396847253,26.816337396847278
2021-06-16,25.020950792068035,25.02095079206806
2021-06-23,20.15493500723745,20.154935007237473
2021-06-30,22.023422671958038,22.023422671958063
2021-07-07,21.995772218268375,21.9957722182684
2021-07-14,19.8132015502678,19.813201550267824
2021-07-21,18.35148664301792,18.351486643017942
2021-07-28,21.053688474403895,21.05368847440392
2021-08-04,23.39156162937772,23.391561629377748
2021-08-11,28.586802200243184,28.58680220024322
2021-08-18,34.502822974481845,34.50282297448189
2021-08-25,39.27212849438253,39.27212849438258
2021-09-01,43.530146527330295,43.53014652733035
2021-09-08,42.36791040783731,42.367910407837364
2021-09-15,47.143841337734855,47.14384133773492
2021-09-22,43.55010635823394,43.550106358234
2021-09-29,39.636771517770754,39.63677151777081
2021-10-06,46.11003156725761,46.11003156725767
2021-10-13,47.3658559906318,47.365855990631864
2021-10-20,51.52652166637434,51.52652166637441
2021-10-27,47.759434998361556,47.75943499836161
2021-11-03,57.23650601493994,57.23650601494002
2021-11-10,57.478449876410416,57.478449876410494
2021-11-17,55.706656433171794,55.70665643317187
2021-11-24,52.875226872672876,52.87522687267295
2021-12-01,53.37734073006511,53.37734073006518
2021-12-08,47.16324732885302,47.163247328853075
2021-12-15,44.970047963858306,44.97004796385836
2021-12-22,45.64526414407101,45.645264144071064
2021-12-29,43.14152572364076,43.14152572364081
2022-01-05,40.63885050487548,40.63885050487553
2022-01-12,40.921905901826364,40.92190590182641
2022-01-19,38.45176771349189,38.45176771349193
2022-01-26,31.015445832358683,31.01544583235872
2022-02-02,31.54015529297071,31.540155292970745
2022-02-09,38.32959509470169,38.32959509470173
2022-02-16,36.65794325356766,36.6579432535677
2022-02-23,30.577663302354907,30.57766330235494
2022-03-02,34.17851562202945,34.17851562202949
2022-03-09,32.154016649733435,32.15401664973347
2022-03-16,32.11163999520619,32.111639995206225
2022-03-23,35.58073985309572,35.580739853095764
2022-03-30,39.44622057082351,39.44622057082356
2022-04-06,35.98890963421385,35.98890963421389
2022-04-13,34.49521524102148,34.49521524102152
2022-04-20,34.62099348679787,34.620993486797914
2022-04-27,32.210971673502115,32.21097167350216
2022-05-04,33.247901044253325,33.24790104425337
