date,symbol,return,vol_20d,mom_60d,rolling_sentiment_7d,news_count_7d
2020-02-12,ADA,0.1532489451476795,,,,
2020-02-19,ADA,-0.1584955363676277,,,,
2020-02-26,ADA,-0.1429565217391305,,,,
2020-03-04,ADA,-0.0083198051948052,,,,
2020-03-11,ADA,-0.1866175567833026,,,,
2020-03-18,ADA,-0.3418867924528302,,,,
2020-03-25,ADA,0.1272935779816513,,,,
2020-04-01,ADA,0.0488301119023397,,,,
2020-04-08,ADA,0.1807306821855803,,,,
2020-04-15,ADA,-0.1278751369112812,0.17244330341493216,,,
2020-04-22,ADA,0.1510204081632651,0.17400489371123484,,,
2020-04-29,ADA,0.4061647572285871,0.20787950994218532,,,
2020-05-06,ADA,-0.0481086323957322,0.19964621242652109,,,
2020-05-13,ADA,0.0531893213776237,0.19226241315390216,,,
2020-05-20,ADA,0.1013931888544892,0.1868452042416977,,,
2020-05-27,ADA,-0.0323260716795502,0.18087822569423928,,,
2020-06-03,ADA,0.5502904865649962,0.2185928993890614,,,
2020-06-10,ADA,-0.0209626419955498,0.2125961601306265,,,
2020-06-17,ADA,-0.003827751196172,0.20684141020828975,,,
2020-06-24,ADA,-0.0103266090297792,0.20160122040838646,,,
2020-07-01,ADA,0.1846639165251153,0.20269436338687385,,,
2020-07-08,ADA,0.3334698893895944,0.20762836890237465,,,
2020-07-15,ADA,0.0023041474654377,0.20260963982282165,,,
2020-07-22,ADA,-0.0475095785440613,0.20357335234426344,,,
2020-07-29,ADA,0.1263073209975866,0.19498018186925614,,,
2020-08-05,ADA,0.0192857142857141,0.1686350372063594,,,
2020-08-12,ADA,-0.0413454800280307,0.17137652064630923,,,
2020-08-19,ADA,-0.0519005847953215,0.17414714610448814,,,
2020-08-26,ADA,-0.1179645335389361,0.17837313698362417,,,
2020-09-02,ADA,0.0078671328671329,0.17289409973792025,0.9459915611814362,,
2020-09-09,ADA,-0.1901127493495229,0.1819118294298668,0.5760337552742629,,
2020-09-16,ADA,-0.0206682373099165,0.16338388118741407,0.5434599156118156,,
2020-09-23,ADA,-0.1618370694368508,0.1684993334757429,0.29367088607595027,,
2020-09-30,ADA,0.3189823874755382,0.18016997624698528,0.706329113924052,,
2020-10-07,ADA,-0.0732937685459941,0.18163734848184995,0.5812658227848113,,
2020-10-14,ADA,0.1452663037677448,0.1823294728608907,0.8109704641350226,,
2020-10-21,ADA,-0.0102516309412861,0.13886566292722238,0.7924050632911408,,
2020-10-28,ADA,-0.0669491525423728,0.13994580567685447,0.6724050632911409,,
2020-11-04,ADA,-0.0359269351094964,0.14038192673459224,0.6123206751054868,,
2020-11-11,ADA,0.1106458704072019,0.14180934122561015,0.7907172995780609,,
2020-11-18,ADA,0.0056550424128181,0.13652313801342716,0.800843881856542,,
2020-11-25,ADA,0.46485473289597,0.15472321963843713,1.6379746835443068,,
2020-12-02,ADA,0.0153550863723608,0.15467585593694147,1.678481012658231,,
2020-12-09,ADA,-0.0661625708884688,0.15515870196403977,1.5012658227848132,,
2020-12-16,ADA,0.1363022941970311,0.1555385207384263,1.842194092827008,,
2020-12-23,ADA,-0.1882422802850356,0.1623203776792938,1.3071729957805935,,
2020-12-30,ADA,0.3452816386247259,0.1782482381670638,2.103797468354435,,
2021-01-06,ADA,0.8172920065252853,0.2494097670513976,4.640506329113932,,
2021-01-13,ADA,-0.0640335128665469,0.24753454185025406,4.279324894514776,,
2021-01-20,ADA,0.2014066496163682,0.24857336568150806,5.3426160337552835,,
2021-01-27,ADA,-0.1687067589143162,0.2473733605729909,4.272573839662455,,
2021-02-03,ADA,0.4180537772087067,0.256760707121481,6.476793248945158,,
2021-02-10,ADA,1.1250564334085775,0.3350947081987413,14.888607594936726,,
2021-02-17,ADA,-0.0522625876354365,0.3367749557671531,14.058227848101284,,
2021-02-24,ADA,0.1768661735036987,0.33254823671756856,16.721518987341792,,
2021-03-03,ADA,0.1571428571428572,0.33252085372055945,19.506329113924075,,
2021-03-10,ADA,-0.0674897119341564,0.33435949182858854,18.122362869198334,,
2021-03-17,ADA,0.2162400706090026,0.3300685732424325,22.257383966244753,,
2021-03-24,ADA,-0.2242380261248185,0.3390372606380872,17.042194092827028,,
2021-03-31,ADA,0.1150608044901777,0.3389994208567466,19.11814345991564,,
2021-04-07,ADA,-0.0151006711409396,0.3395544366577718,16.1813259183375,,
2021-04-14,ADA,0.2376490630323682,0.33280313688094376,24.26956521739134,,
2021-04-21,ADA,-0.1713695801789402,0.33950138385344064,23.431818181818215,,
2021-04-28,ADA,0.1112956810631229,0.33595302449163067,26.37875997544508,,
2021-05-05,ADA,0.1061285500747384,0.3361105920023818,36.23270440251578,,
2021-05-12,ADA,0.0533783783783783,0.3273986854726282,58.59480122324168,,
2021-05-19,ADA,-0.0564464400256573,0.32813547984414815,48.88131570023742,,
2021-05-26,ADA,0.2114208021753909,0.28844692048548254,56.61396702230849,,
2021-06-02,ADA,-0.015712682379349,0.2870630209938164,47.02847754654991,,
2021-06-09,ADA,-0.072405929304447,0.2893916404286348,50.083202511774005,,
2021-06-16,ADA,-0.0878918254456053,0.28592352675031596,39.48008728859798,,
2021-06-23,ADA,-0.1570080862533693,0.2820193383757968,23.267701260911767,,
2021-06-30,ADA,0.1063149480415668,0.13894986352582947,27.204605665376025,,
2021-07-07,ADA,0.0137283236994221,0.1377071112658396,26.1478328173375,,
2021-07-14,ADA,-0.0997861724875268,0.13626384118675433,21.18903724525654,,
2021-07-21,ADA,-0.0744259699129056,0.1336355125290875,20.223674655047223,,
