,Weight
ADA,0.03190645541488524
AVAX,0.0
BNB,0.11926212073085227
BTC,0.13216651462192577
DOGE,0.040334757232599765
DOT,0.0
ETH,0.22860514705009344
SOL,0.23771146859321696
TRX,0.1787203161955468
XRP,0.03129322016087963
